square_feet,num_rooms,age,distance_to_city(km),price
2248.3570765056165,3,92,22.99797167668053,200374.0904104343
1930.867849414408,2,22,13.98425380075946,268784.84733716305
2323.844269050346,6,33,21.500944920457368,315020.85767621297
2761.514928204013,3,63,10.343638295312331,355111.4684588738
1882.923312638332,7,54,25.48520000078338,234197.1239033517
1882.9315215254096,2,70,16.510014268963324,171397.0016848001
2789.606407753696,6,8,28.364626832886,438704.16304096056
2383.717364576454,5,3,3.2856245351769915,438745.70431452943
1765.262807032524,7,65,15.914027911720156,243125.06844413665
2271.2800217929826,3,90,23.22720213393326,171466.0480614187
1768.291153593769,5,32,18.404426794134825,266274.4392146521
1767.1351232148716,4,31,1.67263007237844,288522.02804077696
2120.981135783017,7,43,29.19782167197254,282429.8011915717
1043.359877671101,7,36,9.649647099201054,198661.91956948733
1137.5410837434836,6,90,8.22905812462508,134152.01720673373
1718.8562353795137,6,91,15.084136392590809,223511.74535000944
1493.584439832788,3,66,16.72258511817712,121809.84304876202
2157.123666297637,7,59,23.222355990104937,296965.2827788987
1545.9879622393946,6,58,12.404936072110685,241859.17279227663
1293.8481493323543,4,35,13.758850917404152,181208.27271308177
2732.824384460777,6,48,16.5138375620811,393991.4961798473
1887.111849756732,7,50,12.43722589250758,324604.3191310661
2033.764102343962,2,7,27.521894293933524,182004.21731296505
1287.6259068932716,5,49,25.686307032393312,66630.54585074153
1727.8086377374086,7,40,14.194237157258472,302337.9533367211
2055.461294854933,4,37,1.005651007782197,349602.7492860783
1424.5032112888484,7,85,27.127100370349137,120838.41496130216
2187.849009172836,4,77,4.605760629744492,278725.492987702
1699.6806550405977,7,78,8.09086004062734,235766.2320762461
1854.1531251033616,5,54,5.418477246596548,298065.4494967009
1699.1466938853016,5,67,6.214651529449689,289774.46575014584
2926.139092254469,4,17,24.283448598805208,377732.4725155247
1993.251387631033,7,64,17.8055418083118,278733.29136926506
1471.14453552205,5,63,28.726759730635106,113550.52482521503
2411.2724560515944,3,11,7.712151857387777,415714.2113589757
1389.5781750144888,7,40,15.083412335805786,248057.74910620705
2104.431797502378,5,41,29.34542270339163,209266.15107439077
1020.1649380601124,2,59,24.966861913968323,9752.509217217275
1335.9069755507849,2,49,22.12985469449424,87385.51108324534
2098.4306179345617,3,80,6.480280839752966,241236.4111598425
2369.233289997705,5,82,23.312756626381766,272003.9428145981
2085.6841405949854,2,35,11.079388555281614,246099.50236995268
1942.17585880588,7,47,16.38557001435597,272179.6134023007
1849.448152205356,6,70,18.665675178146664,235611.5180168656
1260.7390048162863,5,72,18.671547634203367,122109.99536161902
1640.0778958026458,3,7,22.069180685491972,188645.34289888316
1769.6806145201062,5,24,20.189360686623964,225212.39639164036
2528.561113109458,4,6,2.982755500007105,425868.1371089624
2171.8091447842307,4,7,14.263063752524111,350024.98616239626
1118.479922318633,2,87,20.2566265948794,28310.56767341293
2162.0419846973973,4,80,9.58379648280613,257252.39375903324
1807.4588597918416,3,75,10.078643929275302,166711.67143399763
1661.5389998470207,2,30,4.612458884883851,217880.22751038967
